epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2325,1.3383,1.14771,1.12389,0.91529,0.89495,0.94728,0.59691,1.26674,0.74571,1.10988,0.000665583,0.000665583,0.000665583
2,135.436,1.31378,0.81497,1.11674,0.93232,0.8968,0.95516,0.62112,1.23682,0.6702,1.10691,0.00128829,0.00128829,0.00128829
3,203.369,1.2941,0.75773,1.11067,0.92259,0.90093,0.9507,0.60839,1.24571,0.68236,1.11307,0.00186699,0.00186699,0.00186699
4,271.112,1.27883,0.72969,1.11079,0.93226,0.89528,0.95397,0.6245,1.22281,0.64108,1.09956,0.001802,0.001802,0.001802
5,339.551,1.2567,0.7032,1.10128,0.92751,0.90137,0.9537,0.62401,1.2439,0.61421,1.1144,0.001736,0.001736,0.001736
6,408.537,1.24611,0.67691,1.09681,0.94066,0.91446,0.9635,0.63466,1.2089,0.58246,1.09335,0.00167,0.00167,0.00167
7,500.401,1.23007,0.65603,1.09054,0.93916,0.91375,0.96373,0.61583,1.21712,0.59986,1.10058,0.001604,0.001604,0.001604
8,608.536,1.21753,0.64035,1.07933,0.94107,0.91829,0.96763,0.64383,1.1876,0.59433,1.08983,0.001538,0.001538,0.001538
9,710.508,1.20492,0.62823,1.07547,0.93998,0.92346,0.96718,0.64314,1.18864,0.55504,1.08781,0.001472,0.001472,0.001472
10,812.159,1.20721,0.62068,1.07938,0.94233,0.93344,0.97078,0.66288,1.16962,0.52028,1.07813,0.001406,0.001406,0.001406
11,899.636,1.1901,0.6027,1.07313,0.94714,0.92788,0.97303,0.64888,1.18561,0.534,1.09504,0.00134,0.00134,0.00134
12,980.533,1.19052,0.60983,1.07127,0.95063,0.92761,0.97312,0.66127,1.17044,0.51563,1.07983,0.001274,0.001274,0.001274
13,1058.79,1.18229,0.58373,1.06744,0.94667,0.92945,0.97451,0.66432,1.16043,0.50861,1.07799,0.001208,0.001208,0.001208
14,1141.46,1.17432,0.58206,1.06748,0.94412,0.93622,0.97511,0.67182,1.15465,0.50461,1.07654,0.001142,0.001142,0.001142
15,1228.85,1.16316,0.57108,1.06354,0.95243,0.93397,0.97419,0.66624,1.16064,0.49784,1.07689,0.001076,0.001076,0.001076
16,1316.76,1.1602,0.55952,1.05606,0.94858,0.93791,0.97642,0.67105,1.14943,0.49754,1.06576,0.00101,0.00101,0.00101
17,1396.45,1.14719,0.55603,1.05492,0.9538,0.92688,0.97431,0.66584,1.14789,0.49035,1.07288,0.000944,0.000944,0.000944
18,1493.47,1.15067,0.55082,1.05208,0.95117,0.9345,0.97896,0.67234,1.14421,0.48387,1.06466,0.000878,0.000878,0.000878
19,1579.3,1.13199,0.54295,1.04479,0.94357,0.94212,0.97739,0.67595,1.13936,0.4759,1.06617,0.000812,0.000812,0.000812
20,1663.24,1.12936,0.53193,1.04264,0.95079,0.93679,0.97718,0.67733,1.12789,0.47313,1.06065,0.000746,0.000746,0.000746
21,1790.38,1.12061,0.49403,1.0503,0.95666,0.92936,0.97718,0.67398,1.13316,0.47389,1.06496,0.00068,0.00068,0.00068
22,1872.8,1.11299,0.4909,1.04454,0.95515,0.93793,0.97749,0.67989,1.1299,0.46926,1.06264,0.000614,0.000614,0.000614
23,1957.45,1.10491,0.48279,1.04649,0.95571,0.93336,0.97806,0.6756,1.13922,0.47391,1.07056,0.000548,0.000548,0.000548
24,2044.78,1.10295,0.47574,1.04887,0.9538,0.93956,0.97768,0.68292,1.12898,0.4665,1.06124,0.000482,0.000482,0.000482
25,2130.79,1.09298,0.46656,1.04234,0.94926,0.94041,0.97887,0.68502,1.1197,0.45505,1.05719,0.000416,0.000416,0.000416
26,2216.96,1.08134,0.45749,1.03781,0.956,0.93983,0.97943,0.68914,1.11594,0.45411,1.05214,0.00035,0.00035,0.00035
27,2304.59,1.06842,0.4516,1.02856,0.95072,0.94405,0.97939,0.68599,1.12008,0.44851,1.05458,0.000284,0.000284,0.000284
28,2388.08,1.06341,0.44631,1.02815,0.95286,0.94299,0.97917,0.68668,1.12207,0.44989,1.05743,0.000218,0.000218,0.000218
29,2470.4,1.05376,0.43764,1.02406,0.95407,0.94421,0.98014,0.69131,1.11353,0.44195,1.05307,0.000152,0.000152,0.000152
30,2554.39,1.0459,0.43121,1.01751,0.95393,0.94629,0.97986,0.69202,1.11119,0.43568,1.0517,8.6e-05,8.6e-05,8.6e-05
